article_id,title,url,property_sector,distress_score,refinancing_risk,vacancy_pressure,ai_rationale,loan_to_value,debt_service_coverage,predicted_default_prob_pct,credit_risk_tier
1,Appliance Parts Supplier Takes Over 500K SF In Pendergrass: The Atlanta Deal Sheet,https://www.bisnow.com/news/atlanta/deal-sheet/appliance-parts-supplier-take-over-500k-sf-in-pendergrass-the-atlanta-deal-sheet,Office,0.0,0.2,0.2,Heuristic tag based on key commercial real estate indicators in title: Appliance Parts Supplier Takes Over 500K...,0.7597371322408986,1.1916612500413446,50.88,Moderate Risk
2,EQT Real Estate Sells 10M SF Southeast Logistics Portfolio,https://www.bisnow.com/news/national/industrial/eqt-sells-10m-sf-southeast-logistics-portfolio-to-california-firm,Office,0.0,0.2,0.2,Heuristic tag based on key commercial real estate indicators in title: EQT Real Estate Sells 10M SF Southeast L...,0.7089388559063052,1.1296586775541206,53.02,Moderate Risk
3,Developers Get Approval To Turn Mall Into NHL Arena. Now All They Need Is A Team,https://www.bisnow.com/news/atlanta/hospitality-entertainment/nhl-alpharetta-north-point-mall-jamestown-machete-new-york-life,Office,0.0,0.2,0.2,Heuristic tag based on key commercial real estate indicators in title: Developers Get Approval To Turn Mall Int...,0.7718150830480554,1.6204556369017875,0.0,Low Risk (Performing)
4,Appraisal Knocks $78M In Value Off Huge Suburban Atlanta Mall,https://www.bisnow.com/news/atlanta/retail/arbor-place-mall-douglasville-appraisal-foreclosure,Retail,3.5,0.7,0.6,Heuristic tag based on key commercial real estate indicators in title: Appraisal Knocks $78M In Value Off Huge ...,0.841842388512642,1.2473005550524132,100.0,High Risk (Watchlist)
5,Sandy Springs Shopping Center Gets Incentives For Major Overhaul: The Atlanta Deal Sheet,https://www.bisnow.com/news/atlanta/deal-sheet/sandy-springs-shopping-center-gets-incentives-for-major-overhaul-the-atlanta-deal-sheet,Office,0.0,0.2,0.2,Heuristic tag based on key commercial real estate indicators in title: Sandy Springs Shopping Center Gets Incen...,0.701267730022133,1.0384578142088199,63.3,Moderate Risk
6,EXCLUSIVE: Industrial Outdoor Storage Investor Continues Buying Spree In Metro Atlanta,https://www.bisnow.com/news/atlanta/industrial/industrial-storage-investor-picks-up-buying-steam-in-metro-atlanta,Office,0.0,0.2,0.2,Heuristic tag based on key commercial real estate indicators in title: EXCLUSIVE: Industrial Outdoor Storage In...,0.7012690434440655,1.4145089824206378,17.55,Low Risk (Performing)
7,Food And Beverage Increasingly Becoming Anchor In Mixed-Use Projects,https://www.bisnow.com/news/atlanta/mixed-use/food-and-beverage-increasingly-becoming-the-lifeblood-to-mixed-use-projects,Retail,0.0,0.2,0.2,Heuristic tag based on key commercial real estate indicators in title: Food And Beverage Increasingly Becoming ...,0.8463370252405913,1.0058312700057956,82.71,High Risk (Watchlist)
8,Jackson Far Outraising Bottoms In CRE Donations In Georgia Governor's Race,https://www.bisnow.com/news/atlanta/economic-development/jackson-far-outraising-bottoms-georgia-governor-race-cre-execs-donations-campaign-finance,Office,0.0,0.2,0.2,Heuristic tag based on key commercial real estate indicators in title: Jackson Far Outraising Bottoms In CRE Do...,0.7813947783322327,1.2917727190009511,41.01,Moderate Risk
9,2 Steakhouses Land New Leases: The Atlanta Deal Sheet,https://www.bisnow.com/news/atlanta/deal-sheet/two-steakhouses-land-new-leases-atlanta-deal-sheet,Office,0.0,0.2,0.2,Heuristic tag based on key commercial real estate indicators in title: 2 Steakhouses Land New Leases: The Atlan...,0.6824420491252038,0.8580659752240449,83.24,High Risk (Watchlist)
10,Investor Pays $98M For Foreclosed Downtown Atlanta Apartment Tower,https://www.bisnow.com/news/atlanta/multifamily/investor-pays-98m-for-foreclosed-downtown-atlanta-apartment-tower,Multifamily,0.0,0.2,0.2,Heuristic tag based on key commercial real estate indicators in title: Investor Pays $98M For Foreclosed Downto...,0.7634048034868771,0.9843627902203138,76.49,High Risk (Watchlist)
11,Microsoft Moves To Undo Local Tax Breaks For Atlanta Data Center Projects,https://www.bisnow.com/news/atlanta/data-center/microsoft-seeks-to-undo-local-tax-incentives-for-data-center-projects-in-georgia,Other,-2.0,0.2,0.2,Heuristic tag based on key commercial real estate indicators in title: Microsoft Moves To Undo Local Tax Breaks...,0.682926584575003,1.2893722471738247,12.57,Low Risk (Performing)
12,Portman's Ten Twenty Spring Nabs Refinancing: The Atlanta Deal Sheet,https://www.bisnow.com/news/atlanta/deal-sheet/portman-ten-twenty-spring-nabs-278m-refinancing,Office,0.0,0.2,0.2,Heuristic tag based on key commercial real estate indicators in title: Portman's Ten Twenty Spring Nabs Refinan...,0.6827416197143794,1.397693315999082,17.62,Low Risk (Performing)
13,New York Investor Buys Smyrna Flex Warehouse,https://www.bisnow.com/news/atlanta/industrial/new-york-outfit-buys-smyrna-flex-warehouse,Industrial,0.0,0.2,0.2,Heuristic tag based on key commercial real estate indicators in title: New York Investor Buys Smyrna Flex Wareh...,0.7393569817252827,1.2842736562379942,37.45,Low Risk (Performing)
14,Emory Takes Over Proton Center For $82M: The Atlanta Deal Sheet,https://www.bisnow.com/news/atlanta/deal-sheet/emory-takes-over-atlanta-proton-center-for-82m-135640,Multifamily,0.0,0.2,0.2,Heuristic tag based on key commercial real estate indicators in title: Emory Takes Over Proton Center For $82M:...,0.5669375804273762,1.2268703435223518,26.07,Low Risk (Performing)
15,Dewberry's Midtown Eyesore Quietly Resolves $75M Mortgage,https://www.bisnow.com/news/atlanta/capital-markets/dewberrys-midtown-eyesore-quietly-resolves-75m-mortgage-135621,Office,3.5,0.7,0.6,Heuristic tag based on key commercial real estate indicators in title: Dewberry's Midtown Eyesore Quietly Resol...,0.5820065733989573,1.1897792608821423,79.34,High Risk (Watchlist)
16,Mesirow Pays $132M For Midtown Luxury Apartment Tower,https://www.bisnow.com/news/atlanta/multifamily/mesirow-pays-in-excess-of-400k-per-unit-for-midtown-apartments-135569,Multifamily,0.0,0.2,0.2,Heuristic tag based on key commercial real estate indicators in title: Mesirow Pays $132M For Midtown Luxury Ap...,0.6750169976607222,0.9542956019265145,70.74,High Risk (Watchlist)
17,Self-Storage Sector Bounces Back As Investors Move Past Market 'Trough',https://www.bisnow.com/news/atlanta/self-storage/self-storage-sector-bounces-back-as-investors-move-past-market-trough-135566,Office,0.0,0.2,0.2,Heuristic tag based on key commercial real estate indicators in title: Self-Storage Sector Bounces Back As Inve...,0.6389735103732461,1.1060311583210582,48.45,Moderate Risk
18,Regent In Talks To Buy Tower Place 100: The Atlanta Deal Sheet,https://www.bisnow.com/news/atlanta/deal-sheet/regent-partners-in-talks-to-buy-tower-place-100-135548,Office,0.0,0.2,0.2,Heuristic tag based on key commercial real estate indicators in title: Regent In Talks To Buy Tower Place 100: ...,0.7451397866076219,1.1578722458080426,53.44,Moderate Risk
19,New Office Construction Is On Pause In Atlanta. Landlords Have A Chance To Fill Their Towers,https://www.bisnow.com/news/atlanta/office/atlantas-office-market-is-doing-great-just-not-good-enough-to-build-a-new-tower-135511,Office,3.5,0.7,0.6,Heuristic tag based on key commercial real estate indicators in title: New Office Construction Is On Pause In A...,0.6473580739583031,1.4614244452437832,53.24,Moderate Risk
20,Brookhaven Apartment Tower Sells For $101M As Investors Target Prime Atlanta Properties,https://www.bisnow.com/news/atlanta/multifamily/brookhaven-apartment-sale-highlights-institutional-desire-prime-atlanta-properties-135439,Multifamily,0.0,0.2,0.2,Heuristic tag based on key commercial real estate indicators in title: Brookhaven Apartment Tower Sells For $10...,0.6070157038931766,1.3187236579136923,19.17,Low Risk (Performing)
21,Big-Box Leasing Returns To Atlanta's Industrial Market,https://www.bisnow.com/news/atlanta/industrial/atlanta-industrial-return-big-box-leasing-q2-135417,Industrial,0.0,0.2,0.2,Heuristic tag based on key commercial real estate indicators in title: Big-Box Leasing Returns To Atlanta's Ind...,0.8372519015137243,0.8973919689274532,94.94,High Risk (Watchlist)
